x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
   41.500000,       0.000003,       0.000010,       0.000014,      -0.000009,      -0.000209,      -0.002180,      -0.029484,      -0.624183,      -2.546442,      -2.788046,      -2.801514,
   42.000000,       0.000003,       0.000010,       0.000014,      -0.000004,      -0.000170,      -0.001764,      -0.022981,      -0.480813,      -2.470845,      -2.784148,      -2.801308,
   42.500000,       0.000003,       0.000010,       0.000015,      -0.000000,      -0.000139,      -0.001435,      -0.017996,      -0.366436,      -2.374805,      -2.779050,      -2.801025,
   43.000000,       0.000003,       0.000010,       0.000015,       0.000006,      -0.000111,      -0.001160,      -0.014151,      -0.277587,      -2.254684,      -2.772472,      -2.800643,
   43.500000,       0.000003,       0.000010,       0.000016,       0.000009,      -0.000090,      -0.000944,      -0.011173,      -0.209824,      -2.107752,      -2.763912,      -2.800144,
   44.000000,       0.000003,       0.000010,       0.000015,       0.000011,      -0.000072,      -0.000770,      -0.008855,      -0.158681,      -1.933308,      -2.752779,      -2.799503,
   44.500000,       0.000003,       0.000010,       0.000015,       0.000012,      -0.000058,      -0.000625,      -0.007039,      -0.120294,      -1.733690,      -2.738223,      -2.798676,
   45.000000,       0.000003,       0.000010,       0.000016,       0.000014,      -0.000044,      -0.000511,      -0.005615,      -0.091529,      -1.515263,      -2.719290,      -2.797629,
   45.500000,       0.000003,       0.000010,       0.000016,       0.000015,      -0.000031,      -0.000416,      -0.004500,      -0.069935,      -1.288328,      -2.694573,      -2.796281,
   46.000000,       0.000003,       0.000010,       0.000016,       0.000015,      -0.000024,      -0.000339,      -0.003609,      -0.053677,      -1.065274,      -2.662324,      -2.794556,
   46.500000,       0.000003,       0.000010,       0.000016,       0.000018,      -0.000017,      -0.000277,      -0.002910,      -0.041397,      -0.858161,      -2.620381,      -2.792334,
   47.000000,       0.000003,       0.000010,       0.000016,       0.000018,      -0.000010,      -0.000227,      -0.002351,      -0.032075,      -0.675951,      -2.565998,      -2.789472,
   47.500000,       0.000003,       0.000010,       0.000017,       0.000019,      -0.000003,      -0.000183,      -0.001902,      -0.024969,      -0.523129,      -2.495963,      -2.785784,
   48.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000000,      -0.000149,      -0.001541,      -0.019519,      -0.399887,      -2.406640,      -2.781042,
   48.500000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000004,      -0.000118,      -0.001252,      -0.015322,      -0.303425,      -2.294356,      -2.774916,
   49.000000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000010,      -0.000094,      -0.001012,      -0.012081,      -0.229473,      -2.156039,      -2.766947,
   49.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000011,      -0.000073,      -0.000820,      -0.009570,      -0.173494,      -1.990160,      -2.756635,
   50.000000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000015,      -0.000058,      -0.000667,      -0.007593,      -0.131421,      -1.797997,      -2.743188,
   50.500000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000017,      -0.000044,      -0.000543,      -0.006051,      -0.099868,      -1.584647,      -2.725681,
   51.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000017,      -0.000031,      -0.000440,      -0.004837,      -0.076206,      -1.359228,      -2.702843,
   51.500000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000018,      -0.000019,      -0.000360,      -0.003879,      -0.058413,      -1.133734,      -2.673110,
   52.000000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000020,      -0.000013,      -0.000291,      -0.003122,      -0.044978,      -0.920606,      -2.634375,
   52.500000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000023,      -0.000007,      -0.000236,      -0.002513,      -0.034803,      -0.729986,      -2.584141,
   53.000000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000023,       0.000000,      -0.000189,      -0.002034,      -0.027048,      -0.567807,      -2.519281,
   53.500000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000024,       0.000005,      -0.000154,      -0.001644,      -0.021117,      -0.435523,      -2.436318,
   54.000000,       0.000003,       0.000010,       0.000017,       0.000019,       0.000025,       0.000010,      -0.000121,      -0.001333,      -0.016556,      -0.331100,      -2.331538,
   54.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000026,       0.000015,      -0.000095,      -0.001074,      -0.013031,      -0.250583,      -2.201580,
   55.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000027,       0.000017,      -0.000075,      -0.000874,      -0.010300,      -0.189434,      -2.044304,
   55.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000021,      -0.000057,      -0.000708,      -0.008165,      -0.143395,      -1.859998,
   56.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000023,      -0.000044,      -0.000571,      -0.006499,      -0.108854,      -1.652533,
   56.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000026,      -0.000029,      -0.000465,      -0.005188,      -0.082946,      -1.429763,
   57.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000027,       0.000028,      -0.000017,      -0.000376,      -0.004155,      -0.063485,      -1.203000,
   57.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000029,      -0.000008,      -0.000306,      -0.003335,      -0.048820,      -0.984857,
   58.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000029,      -0.000003,      -0.000243,      -0.002685,      -0.037708,      -0.786422,
   58.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000030,       0.000005,      -0.000198,      -0.002167,      -0.029264,      -0.615088,
   59.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000031,       0.000012,      -0.000156,      -0.001751,      -0.022816,      -0.473606,
   59.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000031,       0.000014,      -0.000122,      -0.001417,      -0.017859,      -0.360888,
   60.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000031,       0.000021,      -0.000096,      -0.001143,      -0.014042,      -0.273403,
   60.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000032,       0.000024,      -0.000071,      -0.000926,      -0.011083,      -0.206703,
   61.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000029,       0.000032,       0.000027,      -0.000054,      -0.000750,      -0.008781,      -0.156364,
   61.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000033,       0.000032,      -0.000039,      -0.000605,      -0.006977,      -0.118583,
